SubjectID,VideoID,Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,Label
3.0,1.0,61.0,54.0,-23.0,400000.0,124000.0,27500.0,24500.0,29900.0,11800.0,8900.0,10800.0,0.0
3.0,4.0,20.0,43.0,51.0,1840000.0,268000.0,19600.0,10200.0,45700.0,6910.0,5240.0,2540.0,1.0
5.0,1.0,54.0,24.0,29.0,168000.0,79900.0,4570.0,6160.0,8010.0,7350.0,1560.0,746.0,1.0
7.0,1.0,26.0,48.0,43.0,941000.0,141000.0,20000.0,9490.0,23400.0,16600.0,31800.0,6410.0,1.0
6.0,0.0,0.0,0.0,1820.0,1060000.0,879000.0,179000.0,131000.0,40900.0,77300.0,65300.0,163000.0,1.0
2.0,2.0,44.0,74.0,55.0,21300.0,22000.0,9150.0,7260.0,7390.0,5450.0,2600.0,3350.0,0.0
9.0,5.0,57.0,50.0,87.0,771000.0,30900.0,8520.0,5330.0,6180.0,7600.0,6700.0,2230.0,1.0
6.0,8.0,0.0,0.0,397.0,372000.0,134000.0,3250.0,14500.0,16200.0,20900.0,11200.0,12300.0,1.0
6.0,4.0,0.0,0.0,2050.0,598000.0,110000.0,40600.0,29700.0,41200.0,250000.0,282000.0,153000.0,1.0
0.0,7.0,80.0,53.0,32.0,132000.0,33100.0,12600.0,8510.0,5110.0,49300.0,10600.0,8280.0,0.0
7.0,3.0,14.0,48.0,-9.0,79000.0,31900.0,5830.0,1820.0,2740.0,4640.0,7200.0,3860.0,1.0
2.0,7.0,44.0,51.0,49.0,7000.0,15500.0,2950.0,6230.0,8540.0,7210.0,3710.0,4680.0,1.0
5.0,1.0,53.0,74.0,57.0,541000.0,166000.0,58800.0,44200.0,21300.0,30700.0,9750.0,2990.0,1.0
6.0,4.0,0.0,0.0,2050.0,78300.0,15700.0,9000.0,8370.0,18100.0,169000.0,34600.0,24200.0,1.0
6.0,6.0,0.0,0.0,2050.0,332000.0,257000.0,20400.0,54500.0,41200.0,226000.0,298000.0,58600.0,1.0
5.0,8.0,60.0,64.0,71.0,2140000.0,425000.0,210000.0,27200.0,36000.0,62900.0,46500.0,22400.0,1.0
7.0,2.0,60.0,63.0,17.0,38200.0,15700.0,13900.0,13000.0,14000.0,21800.0,17800.0,10800.0,0.0
4.0,6.0,30.0,40.0,25.0,48300.0,110000.0,5550.0,10200.0,36900.0,15500.0,9430.0,10900.0,1.0
9.0,6.0,20.0,80.0,202.0,1950000.0,271000.0,100000.0,171000.0,57700.0,34400.0,33400.0,3230.0,0.0
8.0,7.0,40.0,77.0,-237.0,250000.0,34000.0,19400.0,7520.0,5620.0,2720.0,1070.0,960.0,0.0
5.0,6.0,34.0,64.0,101.0,2040000.0,848000.0,565000.0,338000.0,189000.0,70500.0,84200.0,42800.0,1.0
8.0,7.0,77.0,43.0,141.0,788000.0,93400.0,45300.0,34000.0,24500.0,26400.0,14800.0,7320.0,0.0
9.0,8.0,24.0,53.0,-12.0,1290000.0,184000.0,31600.0,40300.0,23400.0,21500.0,22800.0,18600.0,1.0
8.0,4.0,27.0,37.0,3.0,846000.0,89000.0,46700.0,40100.0,23300.0,6000.0,3850.0,3690.0,1.0
4.0,3.0,63.0,51.0,760.0,5390.0,17100.0,10800.0,13400.0,4660.0,13900.0,10800.0,2700.0,1.0
3.0,4.0,35.0,60.0,29.0,1440000.0,688000.0,317000.0,253000.0,99400.0,93800.0,84700.0,19900.0,1.0
8.0,5.0,26.0,97.0,58.0,591000.0,72900.0,74500.0,8030.0,10300.0,6080.0,2420.0,1180.0,1.0
3.0,8.0,60.0,51.0,67.0,315000.0,149000.0,14300.0,7310.0,42000.0,29600.0,12800.0,3520.0,1.0
8.0,9.0,40.0,51.0,59.0,537000.0,63300.0,13400.0,9560.0,9700.0,6140.0,19000.0,5570.0,1.0
1.0,0.0,66.0,81.0,67.0,6130.0,8630.0,18400.0,3550.0,14200.0,8010.0,2300.0,3180.0,0.0
1.0,1.0,54.0,70.0,25.0,759000.0,144000.0,28800.0,41800.0,70300.0,9950.0,19200.0,3390.0,1.0
3.0,0.0,11.0,51.0,-134.0,2630000.0,646000.0,17800.0,77300.0,51100.0,46000.0,66800.0,3890.0,0.0
2.0,5.0,57.0,70.0,54.0,2460.0,12100.0,11400.0,3020.0,5110.0,3680.0,7000.0,3850.0,1.0
4.0,1.0,84.0,48.0,-56.0,33700.0,4480.0,2160.0,7660.0,7460.0,8180.0,6940.0,11200.0,1.0
9.0,9.0,14.0,34.0,7.0,351000.0,47200.0,11100.0,15300.0,2010.0,3840.0,11400.0,542.0,0.0
1.0,8.0,26.0,54.0,-68.0,123000.0,218000.0,4230.0,6240.0,45000.0,6650.0,1360.0,2400.0,0.0
0.0,0.0,87.0,44.0,-100.0,117000.0,56600.0,7450.0,15000.0,21800.0,62100.0,48300.0,17900.0,0.0
4.0,7.0,53.0,43.0,-810.0,178000.0,62200.0,35700.0,13400.0,22000.0,30600.0,6970.0,7810.0,1.0
8.0,5.0,51.0,64.0,56.0,715000.0,395000.0,290000.0,87000.0,79700.0,70300.0,26100.0,40000.0,1.0
0.0,2.0,44.0,57.0,-39.0,356000.0,102000.0,12700.0,4500.0,21500.0,27200.0,55400.0,21900.0,1.0
3.0,3.0,0.0,0.0,17.0,517000.0,16200.0,2970.0,8410.0,4430.0,27100.0,4270.0,503.0,0.0
7.0,1.0,54.0,61.0,34.0,1240000.0,354000.0,245000.0,64400.0,54300.0,93200.0,34400.0,21200.0,1.0
2.0,7.0,29.0,53.0,37.0,261000.0,11400.0,7120.0,5960.0,17800.0,14200.0,10400.0,3810.0,1.0
1.0,2.0,41.0,53.0,326.0,375000.0,58800.0,19400.0,8350.0,16100.0,6500.0,1870.0,4360.0,1.0
6.0,8.0,0.0,0.0,-2050.0,540000.0,556000.0,136000.0,159000.0,91800.0,83900.0,95900.0,35600.0,1.0
8.0,6.0,54.0,48.0,-76.0,278000.0,19700.0,8640.0,3550.0,2220.0,4780.0,2650.0,1230.0,0.0
0.0,6.0,48.0,47.0,71.0,273000.0,27600.0,13200.0,4660.0,9970.0,18400.0,10900.0,3690.0,1.0
2.0,0.0,78.0,57.0,67.0,8680.0,7140.0,8960.0,2230.0,5260.0,8440.0,4030.0,2330.0,0.0
8.0,5.0,50.0,30.0,71.0,682000.0,453000.0,52100.0,46000.0,55400.0,62800.0,14700.0,21200.0,1.0
1.0,1.0,30.0,69.0,17.0,93600.0,166000.0,22500.0,26600.0,9350.0,11100.0,3220.0,2440.0,1.0
1.0,4.0,40.0,84.0,-22.0,410000.0,113000.0,74700.0,90200.0,24900.0,13700.0,4500.0,5610.0,1.0
4.0,0.0,48.0,64.0,104.0,135000.0,38700.0,39400.0,10300.0,23300.0,15700.0,7690.0,11100.0,0.0
7.0,2.0,70.0,66.0,35.0,9510.0,14300.0,15500.0,11200.0,12000.0,13400.0,6210.0,10700.0,0.0
3.0,1.0,60.0,54.0,122.0,112000.0,85900.0,24100.0,14600.0,19400.0,16800.0,2480.0,5030.0,0.0
5.0,3.0,41.0,57.0,132.0,891000.0,836000.0,120000.0,74500.0,65100.0,43200.0,41500.0,8200.0,1.0
1.0,4.0,44.0,64.0,87.0,260000.0,358000.0,31500.0,19500.0,28700.0,11400.0,13400.0,8550.0,1.0
0.0,0.0,38.0,75.0,121.0,482000.0,6060.0,5420.0,8740.0,1900.0,3280.0,7690.0,1370.0,0.0
0.0,3.0,61.0,40.0,57.0,1070000.0,280000.0,14000.0,36200.0,32900.0,78300.0,45100.0,16100.0,0.0
7.0,9.0,50.0,44.0,28.0,52100.0,53400.0,5970.0,9800.0,37600.0,26800.0,16800.0,15200.0,0.0
8.0,6.0,77.0,41.0,28.0,1040000.0,63000.0,23800.0,7460.0,23200.0,12000.0,6780.0,12500.0,0.0
5.0,9.0,40.0,43.0,177.0,276000.0,11300.0,917.0,4130.0,2420.0,3010.0,2240.0,428.0,0.0
9.0,5.0,51.0,78.0,58.0,1590000.0,335000.0,232000.0,73900.0,22000.0,48500.0,27500.0,45000.0,1.0
4.0,8.0,27.0,60.0,41.0,113000.0,63000.0,31000.0,14500.0,14400.0,19500.0,19600.0,3620.0,1.0
3.0,4.0,35.0,38.0,108.0,1600000.0,348000.0,25200.0,36800.0,40500.0,31800.0,20600.0,6120.0,1.0
8.0,2.0,66.0,35.0,8.0,787000.0,30000.0,6000.0,4050.0,10100.0,6170.0,5620.0,5050.0,0.0
0.0,9.0,50.0,35.0,10.0,733000.0,189000.0,28900.0,49800.0,26300.0,42600.0,97800.0,22600.0,0.0
3.0,8.0,67.0,64.0,1.0,709000.0,83300.0,9930.0,17700.0,8250.0,7510.0,11900.0,4420.0,1.0
9.0,3.0,37.0,51.0,-49.0,47300.0,24400.0,3780.0,12400.0,2800.0,6970.0,2100.0,795.0,1.0
6.0,1.0,0.0,0.0,2050.0,433000.0,297000.0,43800.0,41100.0,11000.0,234000.0,274000.0,41300.0,0.0
5.0,9.0,24.0,44.0,37.0,678000.0,528000.0,114000.0,27500.0,88700.0,27300.0,18500.0,2920.0,0.0
1.0,6.0,27.0,48.0,27.0,10900.0,18000.0,20000.0,12500.0,25200.0,4460.0,2370.0,5240.0,0.0
2.0,7.0,64.0,61.0,16.0,16300.0,3860.0,1550.0,2710.0,8920.0,7090.0,6400.0,4850.0,1.0
8.0,2.0,60.0,50.0,-76.0,760000.0,126000.0,21900.0,19700.0,9080.0,7290.0,7320.0,2560.0,0.0
6.0,4.0,0.0,0.0,2050.0,441000.0,231000.0,88900.0,18800.0,49400.0,643000.0,297000.0,77300.0,1.0
7.0,5.0,37.0,67.0,33.0,1090000.0,49200.0,3990.0,15900.0,7920.0,11100.0,7640.0,6580.0,1.0
3.0,6.0,35.0,40.0,68.0,1780000.0,864000.0,109000.0,34100.0,36700.0,28000.0,12500.0,5890.0,1.0
2.0,5.0,57.0,54.0,-91.0,81700.0,190000.0,21600.0,19900.0,47900.0,9610.0,16000.0,5730.0,1.0
9.0,0.0,23.0,77.0,-198.0,1030000.0,42000.0,5910.0,21900.0,9690.0,20800.0,11300.0,1100.0,1.0
7.0,3.0,13.0,51.0,-262.0,1460000.0,373000.0,17900.0,77400.0,28200.0,27100.0,41700.0,16700.0,1.0
2.0,1.0,43.0,41.0,64.0,5040.0,14500.0,6610.0,8240.0,7980.0,4260.0,2180.0,2320.0,1.0
7.0,4.0,50.0,34.0,75.0,30900.0,23900.0,8900.0,25700.0,9160.0,20600.0,14200.0,7800.0,1.0
3.0,3.0,0.0,0.0,75.0,236000.0,21400.0,17800.0,4570.0,11100.0,63000.0,1630.0,472.0,0.0
5.0,2.0,43.0,69.0,-106.0,2300000.0,130000.0,98400.0,47700.0,29400.0,32500.0,6820.0,5300.0,1.0
2.0,9.0,54.0,47.0,6.0,4430.0,14900.0,2840.0,9860.0,10600.0,6140.0,2020.0,6210.0,0.0
8.0,9.0,35.0,38.0,123.0,607000.0,122000.0,14000.0,63900.0,36600.0,25800.0,9040.0,6210.0,1.0
4.0,5.0,88.0,64.0,25.0,7520.0,9400.0,2130.0,5420.0,10200.0,11700.0,3160.0,2720.0,0.0
8.0,5.0,47.0,50.0,-18.0,1150000.0,22100.0,7650.0,14900.0,9440.0,6900.0,3130.0,1100.0,1.0
7.0,5.0,35.0,43.0,104.0,537000.0,266000.0,164000.0,38200.0,13300.0,69900.0,68800.0,20400.0,1.0
9.0,2.0,21.0,63.0,-321.0,1320000.0,748000.0,171000.0,230000.0,21300.0,33900.0,86700.0,6060.0,0.0
9.0,5.0,56.0,40.0,77.0,1410000.0,166000.0,16400.0,9760.0,10500.0,14300.0,14400.0,15600.0,1.0
3.0,9.0,27.0,51.0,214.0,224000.0,42300.0,46300.0,17400.0,7600.0,8100.0,4120.0,1910.0,1.0
6.0,9.0,0.0,0.0,209.0,54400.0,54200.0,4450.0,5030.0,6750.0,4150.0,5170.0,1980.0,0.0
0.0,9.0,38.0,53.0,28.0,217000.0,149000.0,2660.0,50600.0,36000.0,13600.0,17400.0,16600.0,0.0
0.0,0.0,70.0,63.0,103.0,151000.0,14900.0,3800.0,3330.0,2290.0,4460.0,7050.0,1670.0,0.0
0.0,7.0,50.0,66.0,-22.0,312000.0,122000.0,37600.0,44700.0,23400.0,56600.0,67200.0,25700.0,0.0
8.0,0.0,78.0,63.0,-18.0,13900.0,8360.0,8180.0,26100.0,10300.0,26600.0,2160.0,5370.0,0.0
4.0,6.0,60.0,61.0,192.0,1290000.0,162000.0,83100.0,40500.0,34900.0,15000.0,11200.0,13800.0,1.0
1.0,2.0,24.0,67.0,17.0,106000.0,21100.0,21100.0,15300.0,3020.0,4170.0,1680.0,1730.0,1.0
6.0,4.0,0.0,0.0,2050.0,199000.0,111000.0,45000.0,14100.0,40500.0,492000.0,229000.0,70800.0,1.0
3.0,0.0,26.0,3.0,5.0,1150000.0,318000.0,58300.0,8120.0,15800.0,10100.0,15000.0,1540.0,0.0
4.0,2.0,30.0,83.0,52.0,139000.0,29800.0,6390.0,10900.0,3600.0,1300.0,1740.0,1260.0,1.0
3.0,1.0,53.0,56.0,123.0,223000.0,163000.0,28900.0,5640.0,11300.0,4820.0,7650.0,5000.0,0.0
1.0,2.0,13.0,13.0,45.0,2080000.0,303000.0,10600.0,18700.0,14400.0,28000.0,11400.0,3280.0,1.0
7.0,8.0,57.0,53.0,-40.0,10600.0,12100.0,10400.0,15200.0,10300.0,37500.0,32500.0,18400.0,0.0
5.0,2.0,51.0,67.0,-33.0,509000.0,137000.0,36100.0,75600.0,27300.0,31700.0,15700.0,4740.0,1.0
8.0,5.0,14.0,50.0,112.0,180000.0,25200.0,22700.0,34000.0,20500.0,4550.0,18900.0,2460.0,1.0
4.0,2.0,54.0,83.0,29.0,166000.0,31500.0,11300.0,18400.0,14100.0,6510.0,7230.0,10900.0,1.0
6.0,0.0,0.0,0.0,1760.0,86800.0,102000.0,19100.0,38800.0,3700.0,28100.0,19700.0,17400.0,1.0
8.0,6.0,35.0,43.0,-21.0,1520000.0,802000.0,104000.0,32200.0,23300.0,37500.0,14600.0,15300.0,0.0
2.0,9.0,30.0,75.0,65.0,3530.0,13700.0,21800.0,19600.0,5500.0,3540.0,2480.0,3150.0,0.0
3.0,8.0,60.0,41.0,85.0,243000.0,40800.0,9810.0,17200.0,14900.0,5610.0,5700.0,2840.0,1.0
0.0,2.0,43.0,69.0,-257.0,336000.0,29000.0,16600.0,11400.0,8150.0,8790.0,20000.0,7200.0,1.0
8.0,5.0,29.0,38.0,10.0,209000.0,240000.0,41100.0,7010.0,7250.0,8090.0,2430.0,1520.0,1.0
6.0,1.0,0.0,0.0,-2050.0,88000.0,105000.0,3220.0,32400.0,15900.0,102000.0,92900.0,18200.0,0.0
9.0,4.0,40.0,38.0,-451.0,1300000.0,291000.0,35300.0,52200.0,13700.0,23100.0,26900.0,4350.0,1.0
9.0,9.0,57.0,38.0,-188.0,1860000.0,30600.0,21700.0,15700.0,7520.0,48600.0,4300.0,958.0,0.0
9.0,6.0,27.0,67.0,89.0,953000.0,676000.0,170000.0,38200.0,51500.0,78600.0,32600.0,7900.0,0.0
1.0,2.0,43.0,69.0,1.0,206000.0,31700.0,31000.0,4070.0,3840.0,6250.0,462.0,1590.0,1.0
5.0,2.0,70.0,75.0,56.0,288000.0,17200.0,13500.0,2330.0,4910.0,6170.0,2350.0,1240.0,1.0
3.0,2.0,88.0,53.0,25.0,199000.0,21000.0,4410.0,4480.0,4540.0,4380.0,1530.0,1710.0,0.0
4.0,5.0,43.0,70.0,28.0,1460000.0,117000.0,7650.0,6710.0,2800.0,2460.0,828.0,1220.0,0.0
7.0,4.0,69.0,78.0,108.0,3920.0,14300.0,7330.0,13200.0,8560.0,16200.0,25900.0,12800.0,1.0
8.0,5.0,57.0,50.0,42.0,1060000.0,39400.0,89000.0,33700.0,20200.0,38100.0,7590.0,6890.0,1.0
2.0,3.0,35.0,43.0,9.0,9150.0,35100.0,6960.0,6900.0,9920.0,7570.0,2680.0,1540.0,0.0
8.0,7.0,43.0,26.0,97.0,1540000.0,277000.0,7440.0,28600.0,29900.0,53800.0,14500.0,17200.0,0.0
7.0,5.0,30.0,64.0,29.0,309000.0,74400.0,25700.0,37000.0,38900.0,26300.0,37200.0,15100.0,1.0
0.0,8.0,100.0,61.0,121.0,1220000.0,193000.0,61900.0,28600.0,10400.0,78700.0,41900.0,28600.0,1.0
6.0,3.0,0.0,0.0,1210.0,91500.0,76700.0,16500.0,24400.0,56200.0,22900.0,24500.0,28000.0,1.0
4.0,0.0,69.0,61.0,34.0,34500.0,36100.0,16700.0,11200.0,4220.0,14600.0,9370.0,21600.0,0.0
4.0,9.0,44.0,57.0,43.0,672000.0,156000.0,59000.0,12100.0,15700.0,12000.0,12500.0,3590.0,0.0
1.0,8.0,41.0,60.0,-222.0,125000.0,173000.0,37100.0,7280.0,8630.0,12600.0,3590.0,1790.0,0.0
9.0,5.0,26.0,17.0,172.0,1620000.0,938000.0,193000.0,79300.0,61000.0,64700.0,106000.0,55200.0,1.0
3.0,7.0,44.0,51.0,56.0,144000.0,4280.0,3210.0,2650.0,2600.0,531.0,365.0,153.0,1.0
0.0,2.0,50.0,57.0,5.0,33200.0,16500.0,6340.0,4320.0,4250.0,2710.0,4740.0,864.0,1.0
5.0,0.0,29.0,57.0,144.0,95700.0,44100.0,1570.0,1600.0,1380.0,2180.0,1390.0,408.0,0.0
0.0,0.0,51.0,50.0,40.0,480000.0,207000.0,11700.0,5010.0,7890.0,122000.0,47900.0,6960.0,0.0
6.0,2.0,0.0,0.0,1090.0,25600.0,30600.0,7940.0,16500.0,4630.0,196000.0,35000.0,41600.0,0.0
0.0,4.0,37.0,41.0,134.0,718000.0,654000.0,42800.0,23700.0,12000.0,48700.0,51500.0,44600.0,0.0
4.0,0.0,87.0,61.0,27.0,4650.0,1840.0,719.0,6180.0,4860.0,8820.0,6060.0,2190.0,0.0
4.0,5.0,84.0,74.0,56.0,11900.0,8460.0,6380.0,8480.0,6990.0,13400.0,12700.0,8170.0,0.0
7.0,9.0,51.0,60.0,53.0,435000.0,11100.0,5300.0,4040.0,2430.0,8510.0,3780.0,9680.0,0.0
0.0,5.0,61.0,43.0,137.0,615000.0,26000.0,11000.0,1810.0,812.0,4980.0,3100.0,1230.0,1.0
8.0,0.0,75.0,51.0,18.0,649000.0,95400.0,22500.0,7010.0,5180.0,7060.0,4580.0,2480.0,0.0
4.0,9.0,29.0,67.0,137.0,74600.0,63200.0,14400.0,2730.0,6940.0,10700.0,1660.0,2380.0,0.0
0.0,8.0,24.0,51.0,4.0,452000.0,207000.0,12400.0,31400.0,10300.0,24100.0,36500.0,14500.0,1.0
3.0,2.0,60.0,40.0,-173.0,837000.0,161000.0,17400.0,30900.0,23100.0,56800.0,16800.0,5870.0,0.0
1.0,8.0,48.0,60.0,61.0,78400.0,53200.0,20300.0,4720.0,14700.0,2240.0,1050.0,667.0,0.0
6.0,0.0,0.0,0.0,-2050.0,605000.0,77900.0,23300.0,12000.0,15300.0,8880.0,16400.0,23800.0,1.0
4.0,2.0,41.0,60.0,89.0,17900.0,7110.0,10300.0,7380.0,10200.0,6050.0,4180.0,3910.0,1.0
3.0,7.0,50.0,37.0,117.0,415000.0,186000.0,9780.0,28700.0,19000.0,29300.0,12200.0,5180.0,1.0
1.0,1.0,37.0,51.0,53.0,222000.0,33600.0,14200.0,3310.0,4980.0,6740.0,860.0,871.0,1.0
4.0,0.0,54.0,69.0,74.0,375000.0,17900.0,16300.0,15900.0,12600.0,11100.0,4990.0,5520.0,0.0
5.0,3.0,26.0,60.0,53.0,679000.0,349000.0,19100.0,10700.0,13100.0,6740.0,12400.0,2160.0,1.0
9.0,2.0,40.0,77.0,-107.0,1090000.0,179000.0,363000.0,47700.0,46300.0,74000.0,36000.0,8920.0,0.0
0.0,6.0,56.0,38.0,105.0,913000.0,269000.0,24600.0,15200.0,43300.0,47300.0,19600.0,12300.0,1.0
1.0,3.0,4.0,34.0,17.0,1790000.0,1560000.0,467000.0,230000.0,184000.0,91000.0,38800.0,15100.0,1.0
2.0,9.0,44.0,57.0,6.0,4780.0,6540.0,4810.0,6510.0,15500.0,5620.0,4540.0,1270.0,0.0
3.0,3.0,0.0,0.0,167.0,1530000.0,64700.0,38400.0,49600.0,12800.0,17900.0,12900.0,2880.0,0.0
4.0,1.0,38.0,56.0,59.0,902000.0,215000.0,28700.0,81500.0,16200.0,17200.0,60400.0,27800.0,1.0
4.0,1.0,20.0,66.0,-82.0,1300000.0,367000.0,188000.0,110000.0,128000.0,18700.0,42900.0,41400.0,1.0
9.0,8.0,91.0,48.0,69.0,161000.0,126000.0,7740.0,13200.0,11100.0,72600.0,12800.0,10900.0,1.0
1.0,7.0,44.0,63.0,2.0,309000.0,178000.0,51200.0,6310.0,4100.0,4430.0,4070.0,2510.0,0.0
8.0,9.0,47.0,50.0,28.0,1250000.0,957000.0,97600.0,209000.0,131000.0,123000.0,85100.0,35200.0,1.0
6.0,7.0,0.0,0.0,2050.0,25300.0,395000.0,57500.0,44900.0,39700.0,84800.0,191000.0,169000.0,0.0
7.0,5.0,37.0,74.0,60.0,964000.0,64600.0,77100.0,15000.0,23400.0,31000.0,38000.0,36800.0,1.0
5.0,3.0,51.0,44.0,0.0,743000.0,63800.0,21200.0,5820.0,4350.0,2980.0,2520.0,1900.0,1.0
9.0,2.0,47.0,41.0,-165.0,1540000.0,249000.0,30700.0,16100.0,23300.0,60400.0,31400.0,3980.0,0.0
5.0,8.0,60.0,56.0,-3.0,264000.0,295000.0,29300.0,4880.0,19000.0,28900.0,11900.0,3220.0,1.0
8.0,9.0,27.0,50.0,139.0,688000.0,163000.0,68800.0,12600.0,13200.0,16800.0,5680.0,6800.0,1.0
0.0,1.0,38.0,64.0,-2.0,1060000.0,85300.0,23800.0,27000.0,29600.0,56200.0,32300.0,25600.0,1.0
9.0,2.0,37.0,51.0,250.0,1520000.0,372000.0,23100.0,75000.0,80300.0,64500.0,67400.0,2880.0,0.0
2.0,3.0,30.0,75.0,37.0,5890.0,15900.0,9680.0,7510.0,5710.0,7810.0,3110.0,1060.0,0.0
6.0,3.0,0.0,0.0,1900.0,679000.0,261000.0,155000.0,160000.0,90400.0,286000.0,36800.0,40500.0,1.0
1.0,2.0,48.0,41.0,-218.0,1080000.0,45300.0,7060.0,4070.0,3480.0,2540.0,1960.0,152.0,1.0
9.0,1.0,78.0,14.0,1440.0,1050000.0,15200.0,30200.0,12600.0,4430.0,11400.0,7050.0,967.0,0.0
0.0,8.0,50.0,44.0,-109.0,1460000.0,775000.0,151000.0,14400.0,40400.0,81200.0,41900.0,32600.0,1.0
0.0,2.0,44.0,48.0,-6.0,396000.0,255000.0,17800.0,48200.0,42800.0,42000.0,50800.0,27500.0,1.0
7.0,1.0,41.0,60.0,113.0,367000.0,62100.0,12000.0,2720.0,3760.0,14300.0,12900.0,2960.0,1.0
1.0,4.0,29.0,41.0,-9.0,657000.0,813000.0,68200.0,33200.0,37500.0,29600.0,23000.0,28200.0,1.0
2.0,3.0,30.0,77.0,60.0,1650.0,10900.0,20800.0,3740.0,4270.0,4690.0,2260.0,1460.0,0.0
9.0,0.0,41.0,53.0,-184.0,2670000.0,250000.0,48000.0,145000.0,45300.0,71700.0,43800.0,8780.0,1.0
0.0,9.0,57.0,29.0,10.0,952000.0,56700.0,9550.0,5600.0,10200.0,7110.0,12500.0,9580.0,0.0
5.0,0.0,43.0,43.0,182.0,181000.0,110000.0,6200.0,10400.0,4760.0,9620.0,4410.0,677.0,0.0
